COUNTRY,ISO,TOTAL,LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,LEVEL6,SEA/OCEAN,Version
Nigeria,NGA,6205,1,37,774,0,4863,529,1,2020.12
La Reunion,REU,424,1,4,24,0,394,0,1,2020.12
Rwanda,RWA,1391,1,5,30,416,708,231,0,2020.12
Sudan,SDN,1542,1,18,0,0,1522,0,1,2020.12
Senegal,SEN,3847,1,14,45,96,3645,45,1,2020.12
Saint Helena,SHN,13,1,3,8,0,0,0,1,2020.12
Sierra Leone,SLE,728,1,5,16,166,539,0,1,2020.12
Somalia,SOM,654,1,18,0,0,634,0,1,2020.12
South Sudan,SSD,461,1,10,78,0,372,0,0,2020.12
São Tomé and Príncipe,STP,35,1,2,7,0,24,0,1,2020.12
Swaziland,SWZ,466,1,4,59,25,377,0,0,2020.12
Seychelles,SYC,82,1,26,0,0,54,0,1,2020.12
Chad,TCD,1792,1,23,63,348,1357,0,0,2020.12
Togo,TGO,125,1,5,39,1,78,0,1,2020.12
Tunisia,TUN,1340,1,24,264,159,890,0,2,2020.12
Tanzania,TZA,1987,1,31,195,20,1566,170,4,2020.12
Uganda,UGA,1355,1,4,128,201,837,184,0,2020.12
South Africa,ZAF,25130,1,9,52,213,8975,15876,4,2020.12
Zambia,ZMB,996,1,10,105,17,863,0,0,2020.12
Zimbabwe,ZWE,1702,1,10,59,1235,397,0,0,2020.12
Antarctica,ATA,1,1,0,0,0,0,0,0,2020.12
French Southern Territories,ATF,1,1,0,0,0,0,0,0,2020.12
Bouvet Island,BVT,1,1,0,0,0,0,0,0,2020.12
Heard and McDonald Islands,HMD,1,1,0,0,0,0,0,0,2020.12
South Georgia and the South Sandwich Islands,SGS,12,1,0,0,0,0,0,11,2020.12
Afghanistan,AFG,609,1,34,398,0,176,0,0,2020.12
United Arab Emirates,ARE,1650,1,9,26,849,764,0,1,2020.12
Armenia,ARM,131,1,11,0,119,0,0,0,2020.12
Azerbaijan,AZE,369,1,11,74,282,0,0,1,2020.12
Bangladesh,BGD,778,1,8,64,555,149,0,1,2020.12
Bahrain,BHR,385,1,4,40,339,0,0,1,2020.12
Brunei,BRN,691,1,4,39,427,219,0,1,2020.12
Bhutan,BTN,22,1,20,0,1,0,0,0,2020.12
People’s Republic of China,CHN,3685,1,31,340,2848,0,436,29,2020.12
Hong Kong,HKG,984,1,18,392,0,515,0,58,2020.12
Indonesia,IDN,54690,3,34,514,5269,1069,47798,3,2020.12
India,IND,30244,1,39,745,6427,542,22466,24,2020.12
British Indian Ocean Territory,IOT,8,1,0,0,0,0,0,7,2020.12
Iran,IRN,907,1,31,429,5,431,0,10,2020.12
Iraq,IRQ,263,1,19,120,33,89,0,1,2020.12
Israel,ISR,2147,1,6,0,1155,0,983,2,2020.12
Jordan,JOR,523,1,12,51,89,34,335,1,2020.12
Japan,JPN,119771,51,49,21,1896,117731,0,23,2020.12
Kazakhstan,KAZ,3680,1,17,215,2487,959,0,1,2020.12
Kyrgyzstan,KGZ,210,1,9,54,0,146,0,0,2020.12
Cambodia,KHM,2016,1,25,194,1622,173,0,1,2020.12
Korea (South),KOR,1261,1,17,230,0,19,993,1,2020.12
Kuwait,KWT,998,1,6,1,194,795,0,1,2020.12
Laos,LAO,193,1,18,148,26,0,0,0,2020.12
Lebanon,LBN,2849,1,8,26,1566,1246,0,2,2020.12
Sri Lanka,LKA,505,1,9,25,331,89,49,1,2020.12
Macao,MAC,41,1,9,25,0,0,0,6,2020.12
Maldives,MDV,416,1,21,393,0,0,0,1,2020.12
Myanmar,MMR,653,1,18,74,330,229,0,1,2020.12
Mongolia,MNG,393,1,22,339,31,0,0,0,2020.12
Malaysia,MYS,1831,1,16,159,926,596,125,8,2020.12
Nepal,NPL,98,1,7,77,13,0,0,0,2020.12
Oman,OMN,207,1,11,61,4,128,0,2,2020.12
Pakistan,PAK,418,1,6,132,4,273,0,2,2020.12
Philippines,PHL,45474,3,17,87,1633,569,43161,4,2020.12
Korea (North),PRK,87,1,11,0,0,73,0,2,2020.12
Palestine,PSE,33,1,2,16,14,0,0,0,2020.12
Qatar,QAT,138,1,8,92,36,0,0,1,2020.12
Russia,RUS,149645,1,8,83,2356,20181,126979,37,2020.12
Saudi Arabia,SAU,3134,1,13,147,277,2692,0,4,2020.12
Singapore,SGP,62,1,5,55,0,0,0,1,2020.12
Syria,SYR,122,1,15,62,7,36,0,1,2020.12
Thailand,THA,15963,1,77,928,7425,7530,0,2,2020.12
Tajikistan,TJK,236,1,5,76,0,154,0,0,2020.12
Turkmenistan,TKM,286,1,6,61,0,217,0,1,2020.12
East Timor (Timor Leste),TLS,84,1,13,65,0,4,0,1,2020.12
Taiwan,TWN,1090,1,8,22,368,690,0,1,2020.12
Uzbekistan,UZB,688,1,14,193,13,467,0,0,2020.12
Vietnam,VNM,15939,1,66,701,11144,4019,0,8,2020.12
Yemen,YEM,672,1,22,333,0,305,0,11,2020.12
Andorra,AND,47,1,7,39,0,0,0,0,2020.12
Austria,AUT,16159,1,9,94,2118,13715,222,0,2020.12
Belgium,BEL,3344,1,3,11,43,581,2704,1,2020.12
Switzerland,CHE,11085,1,26,143,2225,8690,0,0,2020.12
Germany,DEU,97949,1,16,38,401,11115,86319,59,2020.12
Denmark,DNK,6804,1,5,99,0,6492,75,132,2020.12
Spain,ESP,45183,1,19,52,8123,35235,1721,32,2020.12
Finland,FIN,6684,1,19,70,311,5986,296,1,2020.12
France,FRA,38107,1,13,96,320,2396,35267,14,2020.12
Faroe Islands,FRO,117,1,6,29,80,0,0,1,2020.12
United Kingdom,GBR,19803,2,9,186,404,431,18544,227,2020.12
Gibraltar,GIB,3,1,0,0,1,1,0,0,2020.12
Ireland,IRL,89041,3,31,0,3441,85466,97,3,2020.12
Iceland,ISL,203,1,8,74,119,0,0,1,2020.12
Italy,ITA,44806,1,20,107,7954,36164,513,47,2020.12
Liechtenstein,LIE,38,1,2,11,24,0,0,0,2020.12
Luxembourg,LUX,1386,1,12,102,522,725,24,0,2020.12
Monaco,MCO,13,1,1,10,0,0,0,1,2020.12
Malta,MLT,164,1,6,68,88,0,0,1,2020.12
Netherlands,NLD,7515,1,12,355,2498,2812,1804,33,2020.12
Norway,NOR,3678,51,56,92,356,3014,78,31,2020.12
Portugal,PRT,19649,1,29,308,3092,16153,52,14,2020.12
San Marino,SMR,23,1,9,13,0,0,0,0,2020.12
Sweden,SWE,6204,1,21,290,0,5664,176,52,2020.12
Vatican City,VAT,2,1,0,0,0,1,0,0,2020.12
Albania,ALB,2050,1,12,61,373,1602,0,1,2020.12
Bulgaria,BGR,5436,1,28,265,108,5033,0,1,2020.12
Bosnia and Herzegovina,BIH,752,1,3,18,135,586,8,1,2020.12
Belarus,BLR,3209,1,7,131,1550,1520,0,0,2020.12
Cyprus,CYP,1403,1,6,615,614,166,0,1,2020.12
Czech Republic,CZE,21861,1,14,206,6258,15376,6,0,2020.12
Estonia,EST,8291,1,15,79,4706,3489,0,1,2020.12
Georgia,GEO,240,1,12,74,152,0,0,1,2020.12
Greece,GRC,13094,1,14,75,326,12275,240,163,2020.12
Croatia,HRV,8367,1,21,556,17,7771,0,1,2020.12
Hungary,HUN,8040,1,20,197,3177,4645,0,0,2020.12
Lithuania,LTU,1397,1,10,60,0,1324,0,2,2020.12
Latvia,LVA,1932,1,6,119,588,1217,0,1,2020.12
Moldova,MDA,2685,1,37,982,0,1665,0,0,2020.12
Macedonia,MKD,1558,1,8,80,0,1469,0,0,2020.12
Montenegro,MNE,224,1,24,0,0,198,0,1,2020.12
Poland,POL,44116,1,16,380,2477,40610,628,4,2020.12
Romania,ROU,18206,1,42,3181,73,14907,0,2,2020.12
Serbia,SRB,4553,1,4,25,169,4354,0,0,2020.12
Slovakia,SVK,7911,1,8,79,2927,4896,0,0,2020.12
Slovenia,SVN,6206,1,12,58,212,5922,0,1,2020.12
Turkey,TUR,51857,1,81,973,18,39131,11639,14,2020.12
Ukraine,UKR,31301,1,27,675,11607,18983,1,7,2020.12
Kosovo,XKS,84,1,7,38,0,38,0,0,2020.12
Aruba,ABW,65,1,8,55,0,0,0,1,2020.12
Anguilla,AIA,17,1,14,0,0,0,0,2,2020.12
Antigua and Barbuda,ATG,12,1,8,0,0,1,0,2,2020.12
Bonaire Sint Eustasius and Saba,BES,6,1,3,0,0,1,0,1,2020.12
Bahamas,BHS,66,1,19,32,1,0,0,13,2020.12
Saint Barthelemy,BLM,18,1,0,0,0,16,0,1,2020.12
Belize,BLZ,302,1,6,31,263,0,0,1,2020.12
Bermuda,BMU,13,1,11,0,0,0,0,1,2020.12
Barbados,BRB,27,1,11,0,0,14,0,1,2020.12
Canada,CAN,12152,2,13,293,5161,1508,4993,182,2020.12
Clipperton Island,CPT,2,1,0,0,0,0,0,1,2020.12
Costa Rica,CRI,965,1,7,81,466,197,206,7,2020.12
Cuba,CUB,387,1,16,168,201,0,0,1,2020.12
Curaçoa,CUW,3,1,0,0,0,1,0,1,2020.12
Cayman Islands,CYM,9,1,6,0,0,0,0,2,2020.12
Dominica,DMA,14,1,10,0,0,2,0,1,2020.12
Dominican Republic,DOM,416,1,32,155,158,69,0,1,2020.12
Guadeloupe,GLP,238,1,2,32,202,0,0,1,2020.12
Grenada,GRD,21,1,3,7,9,0,0,1,2020.12
Greenland,GRL,14,2,6,0,0,0,0,6,2020.12
Guatemala,GTM,615,1,22,340,250,0,0,2,2020.12
Honduras,HND,587,1,18,298,268,0,0,2,2020.12
Haiti,HTI,235,1,10,42,145,36,0,1,2020.12
Jamaica,JAM,128,1,3,14,63,46,0,1,2020.12
Saint Kitts and Nevis,KNA,26,1,2,14,0,8,0,1,2020.12
Saint Lucia,LCA,15,1,10,0,0,3,0,1,2020.12
Saint Martin,MAF,10,1,0,0,0,8,0,1,2020.12
Mexico,MEX,81236,1,32,2456,2001,73637,3093,16,2020.12
Montserrat,MSR,6,1,3,0,0,1,0,1,2020.12
Martinique,MTQ,266,1,4,34,226,0,0,1,2020.12
Nicaragua,NIC,237,1,17,151,66,0,0,2,2020.12
Panama,PAN,915,1,13,78,594,227,0,2,2020.12
Puerto Rico,PRI,1568,0,1,78,902,587,0,0,2020.12
El Salvador,SLV,322,1,14,262,44,0,0,1,2020.12
Saint Pierre and Miquelon,SPM,2,1,0,0,0,0,0,1,2020.12
Sint Maarten,SXM,2,1,0,0,0,0,0,1,2020.12
Turks and Caicos Islands,TCA,52,1,9,41,0,0,0,1,2020.12
Trinidad and Tobago,TTO,37,1,21,0,0,13,0,2,2020.12
United States of America,USA,142885,8,52,3142,36781,62935,36826,3141,2020.12
Saint Vincent and the Grenadines,VCT,23,1,6,13,2,0,0,1,2020.12
British Virgin Islands,VGB,7,1,5,0,0,0,0,1,2020.12
Virgin Islands,VIR,24,0,1,3,20,0,0,0,2020.12
American Samoa,ASM,104,1,5,16,78,0,0,4,2020.12
Australia,AUS,25592,6,10,544,16399,8592,0,41,2020.12
Cook Islands,COK,25,1,11,0,0,0,0,13,2020.12
Fiji,FJI,393,1,5,15,85,286,0,1,2020.12
Federated States of Micronesia,FSM,30,1,4,0,0,0,0,25,2020.12
Guam,GUM,21,0,1,1,19,0,0,0,2020.12
Kiribati,KIR,48,1,24,0,0,0,0,23,2020.12
Marshall Islands,MHL,49,1,34,0,0,0,0,14,2020.12
Northern Mariana Islands,MNP,18,1,4,0,0,0,0,13,2020.12
New Caledonia,NCL,63,1,3,34,0,0,0,25,2020.12
Norfolk Islands,NFK,2,0,1,0,0,0,0,1,2020.12
Niue,NIU,18,1,14,2,0,0,0,1,2020.12
Nauru,NRU,16,1,14,0,0,0,0,1,2020.12
New Zealand,NZL,3850,2,17,68,2586,1168,1,8,2020.12
Pitcairn Islands,PCN,9,1,4,0,0,0,0,4,2020.12
Palau,PLW,19,1,16,0,0,0,0,2,2020.12
Papua New Guinea,PNG,137,1,4,22,87,8,0,15,2020.12
French Polynesia,PYF,137,1,5,48,0,0,0,83,2020.12
Solomon Islands ,SLB,253,1,10,50,183,0,0,9,2020.12
Tokelau,TKL,7,1,3,0,0,0,0,3,2020.12
Tonga,TON,20,1,5,0,0,0,0,14,2020.12
Tuvalu,TUV,18,1,9,0,0,0,0,8,2020.12
United States Minor Outlying Islands,UMI,18,1,9,0,0,0,0,8,2020.12
Vanuatu,VUT,39,1,6,0,0,0,0,32,2020.12
Wallis and Futuna Islands,WLF,6,1,3,0,0,0,0,2,2020.12
Samoa,WSM,52,1,4,43,3,0,0,1,2020.12
Argentina,ARG,4243,1,24,527,2809,432,444,6,2020.12
Bolivia,BOL,1150,1,9,112,339,671,18,0,2020.12
Brazil,BRA,40895,1,27,5570,8857,15260,11166,14,2020.12
Chile,CHL,1295,1,16,56,345,808,57,12,2020.12
Colombia,COL,7555,1,33,1122,1131,5258,0,10,2020.12
Ecuador,ECU,2361,1,24,221,1039,1075,0,1,2020.12
Falkland Islands,FLK,2,1,0,0,0,0,0,1,2020.12
French Guiana,GUF,83,1,2,22,57,0,0,1,2020.12
Guyana,GUY,85,1,10,0,70,3,0,1,2020.12
Peru,PER,2597,1,25,196,1874,500,0,1,2020.12
Paraguay,PRY,667,1,18,260,0,319,69,0,2020.12
Suriname,SUR,168,1,10,62,94,0,0,1,2020.12
Uruguay,URY,417,1,19,129,0,208,59,1,2020.12
Venezuela,VEN,834,1,25,336,4,418,48,2,2020.12
Outer World Water,AN_,58,0,0,0,0,0,0,58,2020.12
Outer World Water,OAT,2,0,0,0,0,0,0,2,2020.12
Outer World Water,OBE,1,0,0,0,0,0,0,1,2020.12
Outer World Water,OCA,8,0,0,0,0,0,0,8,2020.12
Outer World Water,OCP,7,0,0,0,0,0,0,7,2020.12
Outer World Water,ODE,4,0,0,0,0,0,0,4,2020.12
Outer World Water,ODK,11,0,0,0,0,0,0,11,2020.12
Outer World Water,OES,3,0,0,0,0,0,0,3,2020.12
Outer World Water,OFI,2,0,0,0,0,0,0,2,2020.12
Outer World Water,OFR,3,0,0,0,0,0,0,3,2020.12
Outer World Water,OGB,2,0,0,0,0,0,0,2,2020.12
Outer World Water,OGR,1,0,0,0,0,0,0,1,2020.12
Outer World Water,OIE,1,0,0,0,0,0,0,1,2020.12
Outer World Water,OIN,12,0,0,0,0,0,0,12,2020.12
Outer World Water,OIT,1,0,0,0,0,0,0,1,2020.12
Outer World Water,OMX,11,0,0,0,0,0,0,11,2020.12
Outer World Water,ONL,1,0,0,0,0,0,0,1,2020.12
Outer World Water,ONO,2,0,0,0,0,0,0,2,2020.12
Outer World Water,OPA,8,0,0,0,0,0,0,8,2020.12
Outer World Water,OPL,1,0,0,0,0,0,0,1,2020.12
Outer World Water,OPT,1,0,0,0,0,0,0,1,2020.12
Outer World Water,ORU,15,0,0,0,0,0,0,15,2020.12
Outer World Water,OSE,5,0,0,0,0,0,0,5,2020.12
Outer World Water,OTR,3,0,0,0,0,0,0,3,2020.12
Outer World Water,OUA,4,0,0,0,0,0,0,4,2020.12
Outer World Water,OUP,1,0,0,0,0,0,0,1,2020.12
TOTAL,TOTAL,1598876,361,3280,42038,215434,817455,515130,5178,2020.12
Angola,AGO,2418,1,18,164,0,2056,177,2,2020.09
Burundi,BDI,545,1,18,119,0,392,15,0,2020.09
Benin,BEN,750,1,12,77,514,145,0,1,2020.09
Burkina Faso,BFA,1632,1,13,45,351,1169,53,0,2020.09
Botswana,BWA,525,1,9,28,0,372,115,0,2020.09
Central African Republic,CAF,1227,1,17,72,168,969,0,0,2020.09
Cote d’Ivoire,CIV,4291,1,14,31,107,497,3631,10,2020.09
Cameroon,CMR,501,1,10,58,6,425,0,1,2020.09
Democratic Republic of Congo,COD,12156,1,26,50,189,68,11821,1,2020.09
Republic of Congo,COG,214,1,0,12,1,199,0,1,2020.09
Comoros,COM,174,1,3,0,0,169,0,1,2020.09
Cape Verde,CPV,256,1,9,22,32,191,0,1,2020.09
Djibouti,DJI,30,1,6,0,0,22,0,1,2020.09
Algeria,DZA,4005,1,48,548,1541,225,1641,1,2020.09
Egypt,EGY,25354,1,27,366,203,7577,17168,12,2020.09
Eritrea,ERI,431,1,6,54,0,369,0,1,2020.09
Ethiopia,ETH,1507,1,11,85,0,1410,0,0,2020.09
Gabon,GAB,433,1,9,48,17,357,0,1,2020.09
Ghana,GHA,2139,1,16,216,1607,298,0,1,2020.09
Guinea,GIN,2522,1,8,34,340,30,2108,1,2020.09
Gambia,GMB,141,1,8,43,0,88,0,1,2020.09
Guinea Bissau,GNB,143,1,9,39,93,0,0,1,2020.09
Equatorial Guinea,GNQ,142,1,2,7,32,99,0,1,2020.09
Kenya,KEN,1578,1,47,290,881,164,194,1,2020.09
Liberia,LBR,387,1,15,136,136,98,0,1,2020.09
Libya,LBY,452,1,22,0,5,423,0,1,2020.09
Lesotho,LSO,2834,1,10,78,5,2740,0,0,2020.09
Morocco,MAR,3285,1,12,76,1528,1663,0,5,2020.09
Madagascar,MDG,2373,1,22,113,1530,706,0,1,2020.09
Mali,MLI,1140,1,11,54,1,1073,0,0,2020.09
Mozambique,MOZ,1054,1,11,161,813,67,0,1,2020.09
Mauritania,MRT,253,1,15,53,0,173,10,1,2020.09
Mauritius,MUS,698,1,5,10,158,522,0,2,2020.09
Malawi,MWI,1881,1,3,28,1737,112,0,0,2020.09
Mayotte,MYT,89,1,17,0,0,70,0,1,2020.09
Namibia,NAM,936,1,14,121,139,660,0,1,2020.09
Niger,NER,2299,1,8,0,27,2263,0,0,2020.09
Nigeria,NGA,6609,1,37,774,544,5252,0,1,2020.09
La Reunion,REU,424,1,4,24,0,394,0,1,2020.09
Rwanda,RWA,1382,1,5,30,416,699,231,0,2020.09
Sudan,SDN,1542,1,18,0,0,1522,0,1,2020.09
Senegal,SEN,3847,1,14,45,96,3645,45,1,2020.09
Saint Helena,SHN,13,1,3,8,0,0,0,1,2020.09
Sierra Leone,SLE,728,1,5,16,166,539,0,1,2020.09
Somalia,SOM,654,1,18,0,0,634,0,1,2020.09
South Sudan,SSD,461,1,10,78,0,372,0,0,2020.09
São Tomé and Príncipe,STP,35,1,2,7,0,24,0,1,2020.09
Swaziland,SWZ,466,1,4,59,25,377,0,0,2020.09
Seychelles,SYC,82,1,26,0,0,54,0,1,2020.09
Chad,TCD,1792,1,23,63,348,1357,0,0,2020.09
Togo,TGO,128,1,5,39,1,81,0,1,2020.09
Tunisia,TUN,1334,1,24,264,159,884,0,2,2020.09
Tanzania,TZA,1987,1,31,195,20,1566,170,4,2020.09
Uganda,UGA,1248,1,4,127,200,768,148,0,2020.09
South Africa,ZAF,30361,1,9,52,234,4015,26046,4,2020.09
Zambia,ZMB,996,1,10,105,17,863,0,0,2020.09
Zimbabwe,ZWE,1702,1,10,59,1235,397,0,0,2020.09
Antarctica,ATA,1,1,0,0,0,0,0,0,2020.09
French Southern Territories,ATF,1,1,0,0,0,0,0,0,2020.09
Bouvet Island,BVT,1,1,0,0,0,0,0,0,2020.09
Heard and McDonald Islands,HMD,1,1,0,0,0,0,0,0,2020.09
South Georgia and the South Sandwich Islands,SGS,12,1,0,0,0,0,0,11,2020.09
Afghanistan,AFG,609,1,34,398,0,176,0,0,2020.09
United Arab Emirates,ARE,1650,1,9,26,849,764,0,1,2020.09
Armenia,ARM,131,1,11,0,119,0,0,0,2020.09
Azerbaijan,AZE,369,1,11,74,282,0,0,1,2020.09
Bangladesh,BGD,778,1,8,64,555,149,0,1,2020.09
Bahrain,BHR,385,1,4,40,339,0,0,1,2020.09
Brunei,BRN,691,1,4,39,427,219,0,1,2020.09
Bhutan,BTN,22,1,20,0,1,0,0,0,2020.09
People’s Republic of China,CHN,3685,1,31,340,2848,0,436,29,2020.09
Hong Kong,HKG,984,1,18,392,0,515,0,58,2020.09
Indonesia,IDN,54690,3,34,514,5269,1069,47798,3,2020.09
India,IND,30244,1,39,745,6427,542,22466,24,2020.09
British Indian Ocean Territory,IOT,8,1,0,0,0,0,0,7,2020.09
Iran,IRN,907,1,31,429,5,431,0,10,2020.09
Iraq,IRQ,263,1,19,120,33,89,0,1,2020.09
Israel,ISR,2147,1,6,0,1155,0,983,2,2020.09
Jordan,JOR,523,1,12,51,89,34,335,1,2020.09
Japan,JPN,119708,51,49,21,1905,117659,0,23,2020.09
Kazakhstan,KAZ,3680,1,17,215,2487,959,0,1,2020.09
Kyrgyzstan,KGZ,210,1,9,54,0,146,0,0,2020.09
Cambodia,KHM,2016,1,25,194,1622,173,0,1,2020.09
Korea (South),KOR,1261,1,17,230,0,19,993,1,2020.09
Kuwait,KWT,998,1,6,1,194,795,0,1,2020.09
Laos,LAO,193,1,18,148,26,0,0,0,2020.09
Lebanon,LBN,2849,1,8,26,1566,1246,0,2,2020.09
Sri Lanka,LKA,505,1,9,25,331,89,49,1,2020.09
Macao,MAC,41,1,9,25,0,0,0,6,2020.09
Maldives,MDV,416,1,21,393,0,0,0,1,2020.09
Myanmar,MMR,653,1,18,74,330,229,0,1,2020.09
Mongolia,MNG,393,1,22,339,31,0,0,0,2020.09
Malaysia,MYS,1831,1,16,159,926,596,125,8,2020.09
Nepal,NPL,98,1,7,77,13,0,0,0,2020.09
Oman,OMN,207,1,11,61,4,128,0,2,2020.09
Pakistan,PAK,418,1,6,132,4,273,0,2,2020.09
Philippines,PHL,45474,3,17,87,1633,569,43161,4,2020.09
Korea (North),PRK,87,1,11,0,0,73,0,2,2020.09
Palestine,PSE,33,1,2,16,14,0,0,0,2020.09
Qatar,QAT,138,1,8,92,36,0,0,1,2020.09
Russia,RUS,149645,1,8,83,2356,20181,126979,37,2020.09
Saudi Arabia,SAU,3134,1,13,147,277,2692,0,4,2020.09
Singapore,SGP,62,1,5,55,0,0,0,1,2020.09
Syria,SYR,122,1,15,62,7,36,0,1,2020.09
Thailand,THA,15963,1,77,928,7425,7530,0,2,2020.09
Tajikistan,TJK,236,1,5,76,0,154,0,0,2020.09
Turkmenistan,TKM,286,1,6,61,0,217,0,1,2020.09
East Timor (Timor Leste),TLS,84,1,13,65,0,4,0,1,2020.09
Taiwan,TWN,1090,1,8,22,368,690,0,1,2020.09
Uzbekistan,UZB,688,1,14,193,13,467,0,0,2020.09
Vietnam,VNM,15939,1,66,701,11144,4019,0,8,2020.09
Yemen,YEM,672,1,22,333,0,305,0,11,2020.09
Andorra,AND,47,1,7,39,0,0,0,0,2020.09
Austria,AUT,16159,1,9,94,2118,13715,222,0,2020.09
Belgium,BEL,3344,1,3,11,43,581,2704,1,2020.09
Switzerland,CHE,11085,1,26,143,2225,8690,0,0,2020.09
Germany,DEU,97949,1,16,38,401,11115,86319,59,2020.09
Denmark,DNK,6804,1,5,99,0,6492,75,132,2020.09
Spain,ESP,45184,1,19,52,8123,35236,1721,32,2020.09
Finland,FIN,6684,1,19,70,311,5986,296,1,2020.09
France,FRA,38107,1,13,96,320,2396,35267,14,2020.09
Faroe Islands,FRO,117,1,6,29,80,0,0,1,2020.09
United Kingdom,GBR,19803,2,9,186,404,431,18544,227,2020.09
Gibraltar,GIB,3,1,0,0,1,1,0,0,2020.09
Ireland,IRL,89042,3,31,0,3441,85467,97,3,2020.09
Iceland,ISL,203,1,8,74,119,0,0,1,2020.09
Italy,ITA,44806,1,20,107,7954,36164,513,47,2020.09
Liechtenstein,LIE,38,1,2,11,24,0,0,0,2020.09
Luxembourg,LUX,1386,1,12,102,522,725,24,0,2020.09
Monaco,MCO,13,1,1,10,0,0,0,1,2020.09
Malta,MLT,164,1,6,68,88,0,0,1,2020.09
Netherlands,NLD,7515,1,12,355,2498,2812,1804,33,2020.09
Norway,NOR,3678,51,56,92,356,3014,78,31,2020.09
Portugal,PRT,19649,1,29,308,3092,16153,52,14,2020.09
San Marino,SMR,23,1,9,13,0,0,0,0,2020.09
Sweden,SWE,6204,1,21,290,0,5664,176,52,2020.09
Vatican City,VAT,2,1,0,0,0,1,0,0,2020.09
Albania,ALB,2050,1,12,61,373,1602,0,1,2020.09
Bulgaria,BGR,5436,1,28,264,109,5033,0,1,2020.09
Bosnia and Herzegovina,BIH,752,1,3,18,135,586,8,1,2020.09
Belarus,BLR,3209,1,7,131,1550,1520,0,0,2020.09
Cyprus,CYP,1391,1,6,615,602,166,0,1,2020.09
Czech Republic,CZE,21855,1,14,206,6258,15376,0,0,2020.09
Estonia,EST,8291,1,15,79,4706,3489,0,1,2020.09
Georgia,GEO,240,1,12,74,152,0,0,1,2020.09
Greece,GRC,13094,1,14,75,326,12275,240,163,2020.09
Croatia,HRV,8329,1,21,556,0,7651,99,1,2020.09
Hungary,HUN,8040,1,20,197,3177,4645,0,0,2020.09
Lithuania,LTU,1397,1,10,60,0,1324,0,2,2020.09
Latvia,LVA,1932,1,6,119,588,1217,0,1,2020.09
Moldova,MDA,2685,1,37,982,0,1665,0,0,2020.09
Macedonia,MKD,1558,1,8,80,0,1469,0,0,2020.09
Montenegro,MNE,225,1,23,2,0,198,0,1,2020.09
Poland,POL,44118,1,16,380,2478,40610,629,4,2020.09
Romania,ROU,18206,1,42,3181,73,14907,0,2,2020.09
Serbia,SRB,2171,1,2,25,152,1991,0,0,2020.09
Slovakia,SVK,7911,1,8,79,2927,4896,0,0,2020.09
Slovenia,SVN,6206,1,12,58,212,5922,0,1,2020.09
Turkey,TUR,48340,1,81,970,7,36343,10924,14,2020.09
Ukraine,UKR,31301,1,27,675,11607,18983,1,7,2020.09
